"user_id","full_name","email","country","signup_datetime","signup_source","signup_device","promo_signup_flag"
52,Tetiana Savchenko,tetiana.savchenko52@example.com,US,"28.5.25 23:38",promo_campaign,android,1
53,Sofia Dorosh,sofia.dorosh53@example.com,DE,"28.03.2025 16:33",organic,web,0
54,Maksym Dorosh,maksym.dorosh54@example.com,DE,"18.5.25 12:10",ads,android,1
55,Ihor Polishchuk,ihor.polishchuk55@example.com,PL,"24-4-2025 01:35",promo_campaign,web,1
56,Taras Savchenko,taras.savchenko56@example.com,us,"23-1-2025 11:07",organic,ios,0
57,Svitlana Koval,svitlana.koval57@example.com,UA,"9/5/2025 7:24",organic,android,0
58,Alina Perebiynis,alina.perebiynis58@example.com,US,"21.5.25 15:35",social,android,0
59,Dmytro Koval,dmytro.koval59@example.com,DE,"22.4.25 11:51",promo_campaign,android,1
60,Maria Pavlenko,maria.pavlenko60@example.com,UA,"8-1-2025 10:48",organic,ios,0
61,Lesia Kryvonos,lesia.kryvonos61@example.com,UA,"22/1/2025 10:23",organic,ios,0
62,Lesia Dorosh,lesia.dorosh62@example.com,UA,"08/03/2025 4:12",referral,ios,0
63,Andriy Sytnyk,andriy.sytnyk63@example.com,UA,"26.6.25 09:02",promo_campaign,android,1
64,Yurii Kramar,yurii.kramar64@example.com,DE,"17.04.2025 21:59",social,web,0
65,Sofia Lysenko,sofia.lysenko65@example.com,UA,"17/01/2025 18:14",organic,ios,0
66,Petro Kramar,PETRO.KRAMAR66@EXAMPLE.COM,ua,"17-1-2025 21:44",promo_campaign,android,1
67,Maria Hrabovych,MARIA.HRABOVYCH67@EXAMPLE.COM,UA,"27.02.2025 01:42",ads,web,1
68,Tetiana Melnyk,tetiana.melnyk68@example.com,pl,"25.1.25 03:09",referral,android,0
69,Maria Tkachenko,maria.tkachenko69@example.com,PL,"31.01.2025 01:47",ads,web,1
70,Volodymyr Perebiynis,volodymyr.perebiynis70@example.com,UA,"13/2/2025 05:44",promo_campaign,android,1
71,Tetiana Savchenko,tetiana.savchenko71@example.com,UA,"28.4.25 17:08",promo_campaign,ios,1
72,Andriy Dorosh,andriy.dorosh72@example.com,PL,"8/4/2025 8:35",social,ios,0
73,Volodymyr Mazur,volodymyr.mazur73@example.com,DE,"20.02.2025 04:17",promo_campaign,web,1
74,Svitlana Sytnyk,svitlana.sytnyk74@example.com,PL,"11/01/2025 15:01",social,android,0
75,Maksym Kramar,maksym.kramar75@example.com,PL,"4/2/2025 15:16",promo_campaign,ios,1
76,Yurii Kryvonos,yurii.kryvonos76@example.com,PL,"22.03.2025 14:04",organic,web,0
77,Petro Hrabovych,petro.hrabovych77@example.com,PL,"26.02.2025 01:58",referral,android,0
78,Andriy Koval,andriy.koval78@example.com,UA,"16/2/2025 09:40",referral,android,0
79,Volodymyr Shevchenko,volodymyr.shevchenko79@example.com,US,"17.02.2025 18:10",social,ios,0
80,Oksana Martynenko,oksana.martynenko80@example.com,UA,"2.1.25 00:54",referral,web,0
81,Lesia Shevchenko,lesia.shevchenko81@example.com,US,"23.02.2025 04:45",promo_campaign,ios,1
82,Maria Polishchuk,maria.polishchuk82@example.com,UA,"9/5/2025 20:21",ads,android,1
83,Petro Khmara,petro.khmara83@example.com,PL,"21.03.2025 16:39",ads,web,1
84,Iryna Mazur,iryna.mazur84@example.com,DE,"12/3/2025 19:32",promo_campaign,android,1
85,Petro Perebiynis,petro.perebiynis85@example.com,DE,"11.2.25 11:12",organic,ios,0
86,Vasyl Lysenko,vasyl.lysenko86@example.com,UA,"5.6.25 13:35",organic,android,0
87,Petro Kramar,petro.kramar87@example.com,DE,"31.5.25 06:06",referral,ios,0
88,Bohdan Dorosh,bohdan.dorosh88@example.com,UA,"22-4-2025 05:33",organic,android,0
89,Ivan Pavlenko,ivan.pavlenko89@example.com,PL,"13.6.25 21:47",organic,web,0
90,Olha Martynenko,olha.martynenko90@example.com,UA,"06/03/2025 4:23",referral,web,0
91,Kateryna Lysenko,kateryna.lysenko91@example.com,PL,"10-3-2025 7:58",social,web,0
92,Ivan Melnyk,ivan.melnyk92@example.com,US,"29.1.25 17:48",referral,ios,0
93,Maria Dorosh,maria.dorosh93@example.com,UA,"6-2-2025 6:24",ads,android,1
94,Vasyl Kramar,vasyl.kramar94@example.com,UA,"13.06.2025 18:08",ads,android,1
95,Sofia Bondar,sofia.bondar95@example.com,DE,"21-5-2025 04:10",promo_campaign,android,1
96,Ivan Kramar,ivan.kramar96@example.com,PL,"09/06/2025 3:02",ads,android,1
97,Tetiana Rudenko,tetiana.rudenko97@example.com,DE,"10/05/2025 10:20",promo_campaign,android,1
98,Vasyl Tkachenko,vasyl.tkachenko98@example.com,UA,"6/4/2025 15:17",organic,ios,0
99,Mykola Kryvonos,mykola.kryvonos99@example.com,PL,"29-3-2025 08:44",referral,android,0
100,Mykola Kots,mykola.kots100@example.com,DE,"26-6-2025 19:01",social,android,0
101,Lesia Rudenko,lesia.rudenko101@example.com,US,"24.5.25 00:39",referral,web,0
102,Roksolana Dorosh,roksolana.dorosh102@example.com,DE,"16-1-2025 14:38",organic,android,0
103,Maksym Martynenko,maksym.martynenko103@example.com,US,"20.04.2025 04:14",referral,ios,0
104,Dmytro Lysenko,dmytro.lysenko104@example.com,DE,"7-1-2025 6:27",promo_campaign,android,1
105,Roksolana Martynenko,roksolana.martynenko105@example.com,DE,"30.1.25 17:25",ads,android,1
106,Dmytro Polishchuk,dmytro.polishchuk106@example.com,PL,"28-1-2025 08:44",referral,web,0
107,Volodymyr Hrabovych,volodymyr.hrabovych107@example.com,UA,"2/1/2025 1:27",organic,android,0
108,Maria Khmara,maria.khmara108@example.com,PL,"21.4.25 11:54",ads,ios,1
109,Yurii Bondar,yurii.bondar109@example.com,UA,"7-4-2025 23:01",organic,ios,0
110,Mykola Kryvonos,mykola.kryvonos110@example.com,US,"28-2-2025 06:40",social,ios,0
111,Dmytro Perebiynis,dmytro.perebiynis111@example.com,US,"27/6/2025 16:05",referral,ios,0
112,Dmytro Martynenko,DMYTRO.MARTYNENKO112@EXAMPLE.COM,US,"10.06.2025 14:44",referral,android,0
113,Andriy Shevchenko,andriy.shevchenko113@example.com,UA,"15.05.2025 13:21",promo_campaign,ios,1
114,Andriy Kryvonos,andriy.kryvonos114@example.com,PL,"7.4.25 09:23",referral,web,0
115,Ivan Savchenko,ivan.savchenko115@example.com,PL,"12/06/2025 15:31",organic,web,0
116,Alina Polishchuk,alina.polishchuk116@example.com,PL,"13-1-2025 12:43",social,android,0
117,Maria Savchenko,maria.savchenko117@example.com,US,"29.6.25 09:18",ads,web,1
118,Lesia Melnyk,lesia.melnyk118@example.com,US,"23.05.2025 22:17",promo_campaign,web,1
119,Oksana Lysenko,oksana.lysenko119@example.com,UA,"02.04.2025 23:06",promo_campaign,ios,1
120,Sofia Bondar,sofia.bondar120@example.com,DE,"20.2.25 00:00",social,web,0
121,Yurii Perebiynis,YURII.PEREBIYNIS121@EXAMPLE.COM,DE,"25.01.2025 11:23",organic,web,0
122,Dmytro Sytnyk,dmytro.sytnyk122@example.com,UA,"3.4.25 06:03",promo_campaign,web,1
123,Iryna Kryvonos,iryna.kryvonos123@example.com,PL,"01/06/2025 16:39",referral,android,0
124,Andriy Dorosh,andriy.dorosh124@example.com,de,"12.06.2025 05:02",ads,web,1
125,Iryna Holub,iryna.holub125@example.com,UA,"29/01/2025 22:23",promo_campaign,android,1
126,Oksana Savchenko,oksana.savchenko126@example.com,UA,"27.05.2025 17:26",organic,web,0
127,Alina Mazur,alina.mazur127@example.com,UA,"12.04.2025 11:17",organic,web,0
128,Olha Bondar,olha.bondar128@example.com,DE,"2.6.25 10:00",social,web,0
129,Andriy Rudenko,andriy.rudenko129@example.com,UA,"11.06.2025 22:22",ads,web,1
130,Oksana Hrabovych,oksana.hrabovych130@example.com,UA,"09.02.2025 23:48",social,ios,0
131,Mykola Rudenko,mykola.rudenko131@example.com,UA,"23/02/2025 18:01",social,ios,0
132,Tetiana Shevchenko,tetiana.shevchenko132@example.com,de,"26-1-2025 10:00",promo_campaign,ios,1
133,Iryna Polishchuk,IRYNA.POLISHCHUK133@EXAMPLE.COM,UA,"23/3/2025 01:36",organic,web,0
134,Yurii Koval,yurii.koval134@example.com,US,"28/1/2025 19:12",promo_campaign,ios,1
135,Tetiana Hrabovych,tetiana.hrabovych135@example.com,de,"31/1/2025 10:15",promo_campaign,android,1
136,Taras Khmara,taras.khmara136@example.com,PL,"29.06.2025 11:34",social,ios,0
137,Ihor Polishchuk,ihor.polishchuk137@example.com,US,"1.3.25 05:59",referral,ios,0
138,Vasyl Mazur,vasyl.mazur138@example.com,PL,"07/04/2025 7:17",referral,web,0
139,Oleksandr Hrabovych,oleksandr.hrabovych139@example.com,PL,"11.04.2025 19:32",ads,web,1
140,Petro Sytnyk,petro.sytnyk140@example.com,US,"29/04/2025 13:47",organic,web,0
141,Sofia Bondar,sofia.bondar141@example.com,US,"17/5/2025 21:47",organic,web,0
142,Ihor Koval,ihor.koval142@example.com,pl,"12/02/2025 9:30",referral,ios,0
143,Yurii Rudenko,yurii.rudenko143@example.com,de,"07/03/2025 3:31",promo_campaign,android,1
144,Tetiana Polishchuk,tetiana.polishchuk144@example.com,US,"25.3.25 17:17",referral,web,0
145,Bohdan Lysenko,bohdan.lysenko145@example.com,PL,"16.4.25 16:10",referral,ios,0
146,Taras Mazur,taras.mazur146@example.com,UA,"25/3/2025 06:52",ads,ios,1
147,Volodymyr Rudenko,volodymyr.rudenko147@example.com,DE,"22/04/2025 18:37",social,android,0
148,Roksolana Dorosh,ROKSOLANA.DOROSH148@EXAMPLE.COM,DE,"30.5.25 12:35",referral,ios,0
149,Lesia Savchenko,lesia.savchenko149@example.com,US,"04.06.2025 02:44",organic,android,0
150,Ivan Bondar,ivan.bondar150@example.com,DE,"11/5/2025 2:43",organic,android,0
151,Iryna Mazur,iryna.mazur151@example.com,DE,"24-1-2025 01:22",ads,android,1
152,Oksana Dorosh,oksana.dorosh152@example.com,DE,"26.4.25 19:26",organic,android,0
153,Dmytro Dorosh,dmytro.dorosh153@example.com,ua,"22/01/2025 16:05",social,ios,0
154,Iryna Lemko,iryna.lemko154@example.com,UA,"3/5/2025 10:45",social,ios,0
155,Maria Mazur,maria.mazur155@example.com,DE,"30.4.25 01:37",organic,android,0
156,Taras Sytnyk,taras.sytnyk156@example.com,UA,"09.03.2025 07:29",referral,android,0
157,Alina Polishchuk,alina.polishchuk157@example.com,PL,"18/04/2025 14:07",referral,android,0
158,Petro Koval,petro.koval158@example.com,DE,"2.3.25 19:15",social,web,0
159,Volodymyr Kryvonos,volodymyr.kryvonos159@example.com,DE,"3/5/2025 15:14",ads,android,1
160,Lesia Lysenko,lesia.lysenko160@example.com,UA,"7/2/2025 9:40",promo_campaign,ios,1
161,Maria Sytnyk,maria.sytnyk161@example.com,UA,"17.6.25 16:31",referral,web,0
162,Olha Khmara,olha.khmara162@example.com,US,"10.6.25 22:19",ads,ios,1
163,Andriy Perebiynis,andriy.perebiynis163@example.com,DE,"19/2/2025 12:25",promo_campaign,ios,1
164,Yurii Shevchenko,yurii.shevchenko164@example.com,PL,"24/4/2025 18:32",referral,android,0
165,Sofia Kramar,sofia.kramar165@example.com,PL,"28.06.2025 13:03",promo_campaign,ios,1
166,Lesia Shevchenko,LESIA.SHEVCHENKO166@EXAMPLE.COM,UA,"28/4/2025 06:09",ads,android,1
167,Tetiana Bondar,tetiana.bondar167@example.com,UA,"12.2.25 19:41",social,web,0
168,Petro Koval,petro.koval168@example.com,UA,"2.5.25 20:10",promo_campaign,android,1
169,Andriy Kryvonos,andriy.kryvonos169@example.com,DE,"30/6/2025 23:14",promo_campaign,ios,1
170,Olena Dorosh,olena.dorosh170@example.com,DE,"12.6.25 16:57",organic,ios,0
171,Maksym Holub,maksym.holub171@example.com,PL,"21/4/2025 07:16",ads,android,1
172,Volodymyr Shevchenko,volodymyr.shevchenko172@example.com,UA,"31.1.25 00:05",referral,ios,0
173,Sofia Koval,sofia.koval173@example.com,PL,"9-5-2025 18:17",ads,web,1
174,Vasyl Polishchuk,vasyl.polishchuk174@example.com,DE,"13.01.2025 14:30",ads,web,1
175,Maksym Savchenko,maksym.savchenko175@example.com,US,"7-4-2025 14:41",promo_campaign,web,1
176,Petro Mazur,petro.mazur176@example.com,US,"22/5/2025 08:42",promo_campaign,web,1
177,Tetiana Martynenko,tetiana.martynenko177@example.com,ua,"3.6.25 17:55",organic,ios,0
178,Tetiana Martynenko,tetiana.martynenko178@example.com,PL,"08/06/2025 18:01",promo_campaign,android,1
179,Oksana Rudenko,oksana.rudenko179@example.com,UA,"16-2-2025 14:36",promo_campaign,android,1
180,Olha Lemko,olha.lemko180@example.com,US,"9/6/2025 10:15",referral,web,0
181,Olha Kots,olha.kots181@example.com,PL,"13/05/2025 20:17",ads,android,1
182,Ivan Sytnyk,ivan.sytnyk182@example.com,UA,"05.02.2025 08:11",organic,web,0
183,Oksana Holub,oksana.holub183@example.com,UA,"27.4.25 18:17",promo_campaign,web,1
184,Svitlana Khmara,svitlana.khmara184@example.com,UA,"08.03.2025 13:48",organic,android,0
185,Olena Lysenko,olena.lysenko185@example.com,PL,"27-1-2025 06:03",organic,android,0
186,Roksolana Shevchenko,ROKSOLANA.SHEVCHENKO186@EXAMPLE.COM,PL,"10/04/2025 16:38",organic,ios,0
187,Ivan Sytnyk,ivan.sytnyk187@example.com,PL,"25-6-2025 23:17",organic,android,0
188,Volodymyr Savchenko,volodymyr.savchenko188@example.com,UA,"15.5.25 08:40",organic,ios,0
189,Maria Shevchenko,maria.shevchenko189@example.com,PL,"23.5.25 17:31",organic,web,0
190,Ihor Kramar,ihor.kramar190@example.com,DE,"15-4-2025 00:52",referral,ios,0
191,Maksym Bondar,maksym.bondar191@example.com,DE,"13/02/2025 01:01",organic,ios,0
192,Ihor Perebiynis,ihor.perebiynis192@example.com,DE,"21/05/2025 04:12",ads,ios,1
193,Olha Bondar,olha.bondar193@example.com,US,"23.4.25 00:51",promo_campaign,web,1
194,Maria Polishchuk,maria.polishchuk194@example.com,UA,"9-6-2025 6:22",promo_campaign,web,1
195,Nazar Pavlenko,nazar.pavlenko195@example.com,DE,"5.3.25 19:31",referral,ios,0
196,Ihor Melnyk,ihor.melnyk196@example.com,UA,"30-5-2025 22:48",referral,ios,0
197,Nazar Hrabovych,nazar.hrabovych197@example.com,UA,"19.1.25 21:48",social,web,0
198,Maria Holub,maria.holub198@example.com,DE,"30/5/2025 22:45",referral,web,0
199,Oksana Hrabovych,oksana.hrabovych199@example.com,UA,"22/01/2025 10:36",social,ios,0
200,Vasyl Hrabovych,vasyl.hrabovych200@example.com,DE,"12/03/2025 0:25",social,android,0
201,Iryna Tkachenko,IRYNA.TKACHENKO201@EXAMPLE.COM,US,"21.5.25 13:47",referral,web,0
202,Oksana Sytnyk,OKSANA.SYTNYK202@EXAMPLE.COM,US,"18.02.2025 10:18",ads,ios,1
203,Sofia Savchenko,sofia.savchenko203@example.com,UA,"7-2-2025 17:48",organic,android,0
204,Alina Lemko,alina.lemko204@example.com,PL,"21.5.25 10:24",ads,ios,1
205,Petro Koval,petro.koval205@example.com,us,"15.5.25 08:39",referral,android,0
206,Oleksandr Kryvonos,oleksandr.kryvonos206@example.com,US,"30/04/2025 14:03",organic,ios,0
207,Yurii Lysenko,yurii.lysenko207@example.com,US,"03.04.2025 04:46",ads,ios,1
208,Volodymyr Holub,VOLODYMYR.HOLUB208@EXAMPLE.COM,DE,"10.05.2025 17:40",promo_campaign,ios,1
209,Alina Hrabovych,alina.hrabovych209@example.com,DE,"02/01/2025 10:40",organic,web,0
210,Nazar Tkachenko,nazar.tkachenko210@example.com,DE,"12.03.2025 20:53",ads,android,1
211,Alina Lysenko,alina.lysenko211@example.com,UA,"31-5-2025 13:40",referral,ios,0
212,Ivan Martynenko,ivan.martynenko212@example.com,PL,"30/06/2025 13:17",ads,ios,1
213,Dmytro Lemko,dmytro.lemko213@example.com,PL,"18/06/2025 18:51",referral,web,0
214,Iryna Martynenko,iryna.martynenko214@example.com,UA,"07/02/2025 16:47",promo_campaign,ios,1
215,Yurii Tkachenko,yurii.tkachenko215@example.com,PL,"16/3/2025 21:52",social,web,0
216,Oksana Kramar,oksana.kramar216@example.com,US,"20-2-2025 17:03",organic,android,0
217,Maria Shevchenko,maria.shevchenko217@example.com,UA,"14-4-2025 04:12",organic,android,0
218,Sofia Perebiynis,sofia.perebiynis218@example.com,PL,"22/02/2025 18:33",organic,web,0
219,Taras Holub,taras.holub219@example.com,US,"1-2-2025 21:06",social,ios,0
220,Olha Khmara,olha.khmara220@example.com,UA,"23-1-2025 06:25",ads,web,1
221,Ivan Hrabovych,ivan.hrabovych221@example.com,DE,"7/6/2025 1:04",referral,web,0
222,Tetiana Tkachenko,tetiana.tkachenko222@example.com,pl,"22.2.25 01:55",organic,ios,0
223,Taras Kramar,taras.kramar223@example.com,DE,"11.04.2025 22:55",ads,web,1
224,Roksolana Khmara,ROKSOLANA.KHMARA224@EXAMPLE.COM,UA,"5-4-2025 3:06",organic,web,0
225,Lesia Martynenko,lesia.martynenko225@example.com,DE,"25.4.25 09:14",referral,ios,0
226,Maksym Savchenko,maksym.savchenko226@example.com,US,"13.05.2025 16:09",referral,ios,0
227,Olha Lemko,olha.lemko227@example.com,us,"23/04/2025 15:16",referral,ios,0
228,Petro Kots,petro.kots228@example.com,UA,"22/2/2025 10:04",referral,web,0
229,Oksana Sytnyk,oksana.sytnyk229@example.com,US,"2-4-2025 5:57",organic,web,0
230,Svitlana Mazur,svitlana.mazur230@example.com,DE,"25.4.25 03:34",organic,android,0
231,Mykola Melnyk,mykola.melnyk231@example.com,PL,"19-1-2025 23:07",ads,ios,1
232,Iryna Sytnyk,iryna.sytnyk232@example.com,DE,"07/05/2025 1:30",social,web,0
233,Oksana Kryvonos,OKSANA.KRYVONOS233@EXAMPLE.COM,PL,"26.2.25 10:38",organic,web,0
234,Ihor Khmara,ihor.khmara234@example.com,PL,"5/2/2025 5:30",promo_campaign,web,1
235,Lesia Bondar,lesia.bondar235@example.com,DE,"20/1/2025 12:23",organic,web,0
236,Oleksandr Melnyk,oleksandr.melnyk236@example.com,UA,"06.03.2025 06:13",promo_campaign,android,1
237,Mykola Holub,mykola.holub237@example.com,UA,"11/02/2025 1:34",referral,web,0
238,Ivan Kots,ivan.kots238@example.com,UA,"6.5.25 09:35",referral,android,0
239,Dmytro Melnyk,dmytro.melnyk239@example.com,UA,"15/01/2025 12:09",social,ios,0
240,Nazar Kryvonos,nazar.kryvonos240@example.com,UA,"05/02/2025 17:42",social,web,0
241,Lesia Dorosh,lesia.dorosh241@example.com,US,"15/1/2025 15:20",organic,ios,0
242,Oksana Mazur,oksana.mazur242@example.com,UA,"14/4/2025 11:53",ads,web,1
243,Sofia Shevchenko,sofia.shevchenko243@example.com,UA,"10.02.2025 19:49",social,android,0
244,Ivan Lemko,ivan.lemko244@example.com,US,"20-6-2025 20:42",organic,android,0
245,Volodymyr Khmara,volodymyr.khmara245@example.com,DE,"17.05.2025 10:46",organic,ios,0
246,Iryna Savchenko,iryna.savchenko246@example.com,DE,"02.05.2025 01:28",referral,ios,0
247,Petro Sytnyk,petro.sytnyk247@example.com,UA,"07.04.2025 03:53",promo_campaign,web,1
248,Kateryna Polishchuk,kateryna.polishchuk248@example.com,PL,"3-5-2025 0:42",referral,ios,0
249,Olha Melnyk,olha.melnyk249@example.com,PL,"19.6.25 20:21",referral,ios,0
250,Andriy Rudenko,andriy.rudenko250@example.com,DE,"5.1.25 20:38",social,ios,0
251,Dmytro Tkachenko,DMYTRO.TKACHENKO251@EXAMPLE.COM,UA,"01/05/2025 10:45",referral,ios,0
252,Mykola Tkachenko,mykola.tkachenko252@example.com,PL,"17.02.2025 11:51",organic,ios,0
253,Volodymyr Dorosh,volodymyr.dorosh253@example.com,PL,"23-4-2025 03:29",promo_campaign,web,1
254,Vasyl Lemko,vasyl.lemko254@example.com,US,"25.03.2025 13:59",referral,android,0
255,Svitlana Perebiynis,svitlana.perebiynis255@example.com,PL,"3-1-2025 2:51",referral,ios,0
256,Mykola Shevchenko,mykola.shevchenko256@example.com,DE,"16/1/2025 20:44",referral,web,0
257,Iryna Lemko,iryna.lemko257@example.com,DE,"3-3-2025 17:12",referral,android,0
258,Svitlana Dorosh,SVITLANA.DOROSH258@EXAMPLE.COM,UA,"18.6.25 01:18",promo_campaign,ios,1
259,Olha Sytnyk,olha.sytnyk259@example.com,UA,"22-2-2025 21:04",promo_campaign,web,1
260,Tetiana Rudenko,tetiana.rudenko260@example.com,PL,"19.01.2025 08:00",promo_campaign,android,1
261,Tetiana Kryvonos,tetiana.kryvonos261@example.com,PL,"29.01.2025 00:07",social,android,0
262,Petro Polishchuk,petro.polishchuk262@example.com,PL,"24.03.2025 22:42",organic,web,0
263,Oksana Lemko,oksana.lemko263@example.com,DE,"03.06.2025 03:08",referral,ios,0
264,Yurii Polishchuk,yurii.polishchuk264@example.com,PL,"20.4.25 22:25",referral,web,0
265,Lesia Kots,lesia.kots265@example.com,UA,"13/06/2025 05:38",promo_campaign,android,1
266,Maksym Savchenko,maksym.savchenko266@example.com,de,"5-2-2025 14:46",social,web,0
267,Bohdan Martynenko,bohdan.martynenko267@example.com,PL,"31-3-2025 03:22",organic,ios,0
268,Mykola Mazur,mykola.mazur268@example.com,DE,"9/5/2025 10:07",organic,android,0
269,Svitlana Rudenko,SVITLANA.RUDENKO269@EXAMPLE.COM,UA,"13/4/2025 03:32",ads,web,1
270,Roksolana Perebiynis,roksolana.perebiynis270@example.com,DE,"20.5.25 23:55",organic,ios,0
271,Bohdan Bondar,bohdan.bondar271@example.com,UA,"12.4.25 03:05",promo_campaign,web,1
272,Olha Lysenko,olha.lysenko272@example.com,PL,"22-5-2025 23:46",ads,android,1
273,Olha Rudenko,olha.rudenko273@example.com,UA,"13-5-2025 06:37",ads,web,1
274,Nazar Martynenko,nazar.martynenko274@example.com,DE,"04.01.2025 13:33",social,web,0
275,Bohdan Kots,bohdan.kots275@example.com,UA,"25/04/2025 08:51",promo_campaign,ios,1
276,Dmytro Koval,dmytro.koval276@example.com,UA,"4-6-2025 4:26",organic,android,0
277,Olha Sytnyk,olha.sytnyk277@example.com,DE,"10.3.25 19:19",promo_campaign,ios,1
278,Taras Kots,taras.kots278@example.com,PL,"11.4.25 19:42",social,web,0
279,Olha Lysenko,olha.lysenko279@example.com,DE,"8/5/2025 21:18",organic,ios,0
280,Sofia Mazur,sofia.mazur280@example.com,PL,"15/01/2025 19:56",social,android,0
